Gene,Mean_Normalized_Counts,condition-cKOvsaFL.log2FC,condition-cKOvsaFL.FC,condition-cKOvsaFL.RawP,condition-cKOvsaFL.FDR,cKO_A2.stabilized,cKO_E1.stabilized,cKO_F1.stabilized,cKO_G1.stabilized,cKO_H1.stabilized,FL_A1.stabilized,FL_B1.stabilized,FL_C1.stabilized,FL_D1.stabilized,miR-15/16 seed-match location,AHC reads
0610007P14Rik,2005.594029,0.296380289,1.228059353,6.35818e-4,0.016416993,11.05813851,11.19978433,11.27972449,11.21314192,11.02217541,10.9716871,10.81439211,10.90104905,10.73595077,NA,NA
0610009B22Rik,332.7869004,0.090257343,1.064560058,0.336891379,0.6117501,8.726351222,8.790925938,8.843071226,8.721261479,8.613584271,8.597244721,8.663203211,8.70419252,8.685542271,Not_3UTR,25
0610009L18Rik,37.17672993,-0.374072412,0.771601358,0.041391373,0.20918717,6.667555207,6.688121161,6.441871789,6.785072997,6.64961398,6.648950406,6.98161019,6.806940785,7.047039627,NA,NA
0610009O20Rik,1335.348516,-0.00449155,0.996891536,0.95499862,0.983416464,10.38964667,10.47203924,10.34608014,10.52333323,10.62028732,10.4465764,10.46753059,10.4919789,10.50577195,NA,NA
0610010F05Rik,605.1040046,0.090691307,1.064880327,0.505373706,0.740873385,9.716705222,9.414072678,9.700180956,9.292725221,9.16994898,9.533784802,9.318153353,9.492406029,9.155209914,NA,NA
0610010K14Rik,26.86009631,-0.08058573,0.945673628,0.665370392,0.838184266,6.467013222,6.633512689,6.36995801,6.591846604,6.698371879,6.531997572,6.675261819,6.536446292,6.664142294,NA,NA
0610030E20Rik,1304.381032,0.040057935,1.028155114,0.696779045,0.858597497,10.442701,10.52420654,10.31426429,10.60392201,10.40708292,10.3518039,10.55401596,10.55252739,10.19470568,NA,NA
0610037L13Rik,1072.158884,-0.236432087,0.84884198,0.057897939,0.247795079,9.834787032,10.16943653,9.947164347,10.07875426,10.25646199,10.203686,10.23244071,10.1293762,10.62927761,3UTR,0
0610038B21Rik,17.94488454,-0.006018043,0.995837299,0.975352801,0.991219224,6.599587654,6.236962218,6.290755957,6.346550867,6.40219548,6.421260191,6.274532675,6.493680919,6.358419267,NA,NA
0610040B10Rik,29.73321951,-0.068694455,0.953500463,0.716156735,0.869618892,6.446318335,6.652060986,6.681582082,6.372103064,6.845659514,6.611575771,6.622866977,6.689961133,6.700537871,NA,NA
1010001B22Rik,5.188519499,-0.074769933,0.949493525,0.645972191,0.827345545,5.99647745,5.798364111,6.098825601,5.491007067,6.072965859,6.100601603,5.857199134,5.925560861,6.108906869,NA,NA
1110002J07Rik,26.55521521,-0.318156521,0.802094141,0.089478269,0.310746848,6.309638288,6.469953017,6.627242423,6.55209742,6.465819856,6.611575771,6.548134872,6.672073702,6.81842317,NA,NA
1110002L01Rik,231.0970665,0.294647126,1.226584926,0.028518833,0.171063543,8.508576664,8.346570808,8.490971138,8.463180747,8.192720576,8.157798139,8.292938252,8.259189888,7.844445075,NA,NA
